region,entertainments_count,hospital_count,park_count,psf_count,school2_count,school1_count,shop_count,stop_count
Cairnlea,7.0,,13.0,,2.0,2.0,3.0,15.0
Sale,7.0,1.0,14.0,3.0,1.0,10.0,5.0,77.0
Springvale South,7.0,,13.0,1.0,2.0,4.0,9.0,49.0
Leongatha,7.0,1.0,11.0,13.0,3.0,8.0,4.0,14.0
Beaumaris,7.0,,14.0,,2.0,4.0,1.0,75.0
Campbellfield - Coolaroo,7.0,,27.0,1.0,3.0,7.0,7.0,104.0
Bundoora - East,7.0,,23.0,,3.0,4.0,4.0,43.0
Daylesford,7.0,2.0,18.0,7.0,1.0,8.0,4.0,29.0
Beaconsfield - Officer,7.0,,46.0,2.0,5.0,9.0,4.0,40.0
Wandin - Seville,7.0,,14.0,3.0,2.0,3.0,3.0,26.0
Croydon South,7.0,,15.0,,1.0,1.0,3.0,15.0
Hurstbridge,6.0,,11.0,2.0,2.0,1.0,,4.0
Caroline Springs,6.0,,32.0,1.0,1.0,5.0,6.0,81.0
Port Melbourne Industrial,6.0,,4.0,2.0,,3.0,1.0,55.0
Hoppers Crossing - South,6.0,,55.0,,5.0,6.0,5.0,86.0
Highton,6.0,1.0,42.0,2.0,4.0,6.0,4.0,79.0
Hughesdale,6.0,,4.0,,3.0,3.0,,33.0
Frankston North,6.0,,23.0,1.0,,12.0,8.0,122.0
West Footscray - Tottenham,6.0,,13.0,,3.0,2.0,2.0,56.0
Echuca,6.0,1.0,10.0,3.0,2.0,8.0,4.0,66.0
Altona North,6.0,,23.0,2.0,2.0,4.0,7.0,124.0
Fawkner,6.0,,16.0,,3.0,6.0,4.0,76.0
Croydon - East,6.0,,37.0,2.0,8.0,2.0,3.0,67.0
Horsham,6.0,1.0,27.0,1.0,4.0,7.0,5.0,123.0
Rowville - Central,6.0,,50.0,3.0,5.0,4.0,6.0,75.0
Gladstone Park - Westmeadows,6.0,,46.0,3.0,3.0,5.0,3.0,75.0
Wyndham Vale - South,6.0,,23.0,,2.0,2.0,6.0,65.0
Sydenham,6.0,,19.0,,8.0,3.0,2.0,35.0
Colac,6.0,1.0,8.0,2.0,2.0,9.0,5.0,72.0
Laverton,6.0,,42.0,1.0,2.0,4.0,5.0,85.0
Portland,6.0,1.0,9.0,4.0,,9.0,3.0,60.0
Murrumbeena,6.0,,6.0,,,2.0,,45.0
Warrandyte - Wonga Park,6.0,,24.0,4.0,1.0,4.0,4.0,80.0
Montrose,5.0,,11.0,1.0,3.0,3.0,2.0,40.0
Ararat,5.0,1.0,8.0,3.0,3.0,6.0,3.0,64.0
Drouin,5.0,,30.0,5.0,1.0,9.0,3.0,59.0
Keysborough - North,5.0,,26.0,,3.0,2.0,5.0,75.0
Newtown (Vic.),5.0,,18.0,,4.0,7.0,2.0,51.0
Keilor,5.0,,22.0,,5.0,3.0,,66.0
Cobram,5.0,1.0,7.0,3.0,,5.0,3.0,13.0
Dingley Village,5.0,,24.0,,1.0,3.0,1.0,48.0
Carrum - Patterson Lakes,5.0,,26.0,3.0,1.0,2.0,6.0,57.0
Carrum Downs,5.0,,52.0,2.0,5.0,4.0,7.0,105.0
Noble Park - East,5.0,2.0,10.0,,2.0,3.0,1.0,31.0
Craigieburn - West,5.0,,19.0,,1.0,2.0,5.0,46.0
Avondale Heights,5.0,,42.0,3.0,4.0,2.0,1.0,46.0
Fraser Rise - Plumpton,5.0,,23.0,,,2.0,2.0,11.0
