Region,population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless
Newport,35.11428571428571,3.9628571428570862,-93.89999999999999,-502.99999999999983,60.599999999999994,-26.34285714285714,94.62857142857143,3.6000000000000005,72.11428571428571,2675.1000000000004,321.69999999999993,1.3,180.9,5.8999999999999995,33.699999999999996,-1.0999999999999999
Seabrook,-117.39999999999998,-72.47999999999999,-100.8,-77.99999999999999,3.0000000000000013,1.0285714285714285,0.0,0.0,1.0285714285714285,1089.1000000000001,67.1,1.0300000000000005,-1.5,4.599999999999999,4.5,0.6000000000000001
Williamstown,-79.34285714285716,-10.805714285714268,-161.60000000000002,-378.9999999999999,40.1,24.88571428571429,28.77142857142857,90.37142857142855,144.7142857142857,1572.9,173.4,0.8400000000000003,80.39999999999999,6.3999999999999995,6.799999999999999,-1.9999999999999996
Braybrook,34.22857142857143,4.565714285714343,-81.9,-778.9999999999998,153.4,-1.028571428571428,191.80000000000007,1.4571428571428573,192.22857142857143,1346.2,757.7000000000002,1.3900000000000003,314.69999999999993,5.1000000000000005,91.89999999999999,4.3999999999999995
Footscray,280.1714285714286,56.40285714285723,-41.599999999999994,-638.9999999999998,110.6,5.914285714285716,20.8,372.14285714285717,398.85714285714283,1907.8999999999996,675.6000000000001,1.2200000000000004,376.5999999999999,10.600000000000001,152.20000000000002,1.3999999999999997
Maribyrnong,-15.314285714285715,-2.788571428571453,-129.6,-487.9999999999999,91.5,7.6571428571428575,27.657142857142862,107.0,142.31428571428572,1175.4999999999998,403.8,0.87,179.8,8.100000000000001,83.89999999999999,2.6999999999999997
Seddon-Kingsville,-82.11428571428571,-48.860000000000035,-91.9,-415.9999999999998,24.599999999999998,-6.742857142857143,24.257142857142856,7.685714285714285,25.200000000000006,2572.6000000000004,73.2,1.0099999999999993,80.29999999999998,0.8000000000000004,17.299999999999994,-1.5999999999999999
WestFootscray-Tottenham,-4.9142857142857235,-0.8257142857142566,-90.4,-301.99999999999994,36.30000000000001,-7.200000000000001,63.199999999999996,24.485714285714295,80.48571428571428,1770.3000000000004,292.1000000000001,1.1900000000000006,139.7,-1.8999999999999997,39.099999999999994,6.7
Yarraville,-44.714285714285715,-7.957142857142898,-60.2,-466.9999999999999,47.10000000000001,-13.342857142857142,51.714285714285715,48.57142857142858,86.94285714285715,2439.5,219.99999999999997,1.2000000000000004,147.7,3.3999999999999995,33.599999999999994,-1.3
BacchusMarsh,725.9428571428572,3.694285714285713,440.69999999999993,-631.9999999999998,138.89999999999998,321.0,22.657142857142862,0.22857142857142862,343.88571428571424,1621.2000000000005,702.6000000000001,1.2100000000000002,403.3999999999999,11.199999999999998,60.89999999999999,1.6
MeltonWest,392.74285714285713,16.222857142857148,183.39999999999998,-521.9999999999998,143.49999999999997,201.77142857142857,8.685714285714287,0.0,210.45714285714288,1321.6000000000001,1289.8,1.0599999999999994,232.09999999999997,24.9,71.39999999999999,9.999999999999998
Rockbank-MountCottrell,4024.0571428571434,32.002857142857145,2616.7,-742.9999999999998,598.3,1246.5428571428574,35.342857142857135,,1282.0285714285712,3739.2999999999997,1660.1,4.5,679.0999999999999,39.9,97.00000000000001,1.4000000000000001
TaylorsHill,-142.25714285714284,-23.842857142857124,6.900000000000002,-642.9999999999999,66.69999999999999,21.17142857142857,0.0,,21.742857142857144,1210.2,329.0999999999999,0.6999999999999998,217.5,23.599999999999998,16.7,5.3
