shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.3.H","-37.8404333561703","144.933061892794","4","45.39"
"3-109-mjp-1.3.H","-37.8397319510777","144.933661004429","5","139.47"
"3-109-mjp-1.3.H","-37.8392006842088","144.934198541197","6","215.09"
"3-109-mjp-1.3.H","-37.839183267582","144.934233116899","7","218.69"
"3-109-mjp-1.3.H","-37.8390239267965","144.934396647834","8","241.49"
"3-109-mjp-1.3.H","-37.8390065101072","144.934431223408","9","245.09"
"3-109-mjp-1.3.H","-37.8387767049168","144.934687624684","10","279.15"
"3-109-mjp-1.3.H","-37.8383539186446","144.935244847963","11","347.01"
"3-109-mjp-1.3.H","-37.8381517308976","144.935534563613","12","380.96"
"3-109-mjp-1.3.H","-37.8380730553665","144.935673114263","13","395.95"
"3-109-mjp-1.3.H","-37.8380464318349","144.935696582698","14","399.55"
"3-109-mjp-1.3.H","-37.8377835813715","144.936124343385","15","447.15"
"3-109-mjp-1.3.H","-37.8375121201101","144.936575066978","16","496.93"
"3-109-mjp-1.3.H","-37.8371091299168","144.937233984679","17","570.11"
"3-109-mjp-1.3.H","-37.8348224422606","144.940967800918","18","985.05"
"3-109-mjp-1.3.H","-37.8332541997149","144.943533847813","19","1269.99"
"3-109-mjp-1.3.H","-37.8331314693334","144.943730415689","20","1291.99"
"3-109-mjp-1.3.H","-37.8317033179866","144.946065217546","21","1551.35"
"3-109-mjp-1.3.H","-37.8316949050226","144.946099537231","22","1554.50"
"3-109-mjp-1.3.H","-37.8315201069815","144.946411161467","23","1588.07"
"3-109-mjp-1.3.H","-37.8315205031735","144.94643387467","24","1590.06"
"3-109-mjp-1.3.H","-37.831485266123","144.946480300098","25","1595.72"
"3-109-mjp-1.3.H","-37.8314856623013","144.946503013291","26","1597.71"
"3-109-mjp-1.3.H","-37.8314504252217","144.946549438664","27","1603.37"
"3-109-mjp-1.3.H","-37.8314508213864","144.946572151848","28","1605.36"
"3-109-mjp-1.3.H","-37.8313809413603","144.946699072188","29","1618.95"
"3-109-mjp-1.3.H","-37.8312934425843","144.946849204854","30","1635.34"
"3-109-mjp-1.3.H","-37.8312938386898","144.946871917994","31","1637.33"
"3-109-mjp-1.3.H","-37.830286103694","144.948513244942","32","1819.91"
"3-109-mjp-1.3.H","-37.8298305807558","144.949264381979","33","1903.08"
"3-109-mjp-1.3.H","-37.8294625557858","144.949865384749","34","1969.87"
"3-109-mjp-1.3.H","-37.8294541416679","144.949899703003","35","1973.03"
"3-109-mjp-1.3.H","-37.8293838623604","144.950003904258","36","1985.06"
"3-109-mjp-1.3.H","-37.8293842578407","144.950026616858","37","1987.06"
"3-109-mjp-1.3.H","-37.8292268704176","144.950303654959","38","2017.03"
"3-109-mjp-1.3.H","-37.8292272658387","144.950326367514","39","2019.03"
"3-109-mjp-1.3.H","-37.829148571841","144.950464886107","40","2034.01"
"3-109-mjp-1.3.H","-37.8291489672303","144.95048759864","41","2036.01"
"3-109-mjp-1.3.H","-37.8291225381607","144.950522415169","42","2040.25"
"3-109-mjp-1.3.H","-37.8291055118332","144.950579694957","43","2045.62"
"3-109-mjp-1.3.H","-37.8290790827346","144.950614511433","44","2049.86"
"3-109-mjp-1.3.H","-37.8290620563605","144.950671791168","45","2055.24"
"3-109-mjp-1.3.H","-37.8277669696664","144.953411667189","46","2335.67"
"3-109-mjp-1.3.H","-37.8276283781595","144.953733618791","47","2367.88"
"3-109-mjp-1.3.H","-37.8275586873432","144.953871882055","48","2382.28"
"3-109-mjp-1.3.H","-37.8274980037601","144.95400989626","49","2396.16"
"3-109-mjp-1.3.H","-37.8273071418959","144.954435542314","50","2439.14"
"3-109-mjp-1.3.H","-37.8270978690765","144.954838971648","51","2481.53"
"3-109-mjp-1.3.H","-37.8270800515223","144.954850825027","52","2483.77"
"3-109-mjp-1.3.H","-37.8270103593275","144.954989086253","53","2498.18"
"3-109-mjp-1.3.H","-37.8269837315944","144.955012544228","54","2501.78"
"3-109-mjp-1.3.H","-37.8268347475543","144.955255246573","55","2528.78"
"3-109-mjp-1.3.H","-37.8266411203103","144.955521902863","56","2560.59"
"3-109-mjp-1.3.H","-37.8265878646055","144.955568818177","57","2567.81"
"3-109-mjp-1.3.H","-37.8265263902066","144.955661405629","58","2578.43"
"3-109-mjp-1.3.H","-37.8264378934837","144.955754738675","59","2591.24"
"3-109-mjp-1.3.H","-37.8256788285861","144.956673222543","60","2707.99"
"3-109-mjp-1.3.H","-37.8255376659265","144.956847534319","61","2729.92"
"3-109-mjp-1.3.H","-37.8253428525325","144.957046047401","62","2757.73"
"3-109-mjp-1.3.H","-37.8235257984339","144.956198647725","63","2973.05"
"3-109-mjp-1.3.H","-37.8225174976668","144.955737953305","64","3092.25"
"3-109-mjp-1.3.H","-37.8215454221757","144.955287631633","65","3207.35"
"3-109-mjp-1.3.H","-37.821409127672","144.95522322986","66","3223.52"
"3-109-mjp-1.3.H","-37.8212636285079","144.955147721831","67","3241.01"
"3-109-mjp-1.3.H","-37.8211001144611","144.955072711323","68","3260.35"
"3-109-mjp-1.3.H","-37.8190654886538","144.954151890109","69","3500.61"
"3-109-mjp-1.3.H","-37.8187681782188","144.955193873067","70","3597.92"
"3-109-mjp-1.3.H","-37.8176465716775","144.959109939934","71","3963.82"
