SA2,Dec 1999 median,Dec 2000 median,Dec 2001 median,Dec 2002 median,Dec 2003 median,Dec 2004 median,Dec 2005 median,Dec 2006 median,Dec 2007 median,Dec 2008 median,Dec 2009 median,Dec 2010 median,Dec 2011 median,Dec 2012 median,Dec 2013 median,Dec 2014 median,Dec 2015 median,Dec 2016 median,Dec 2017 median,Dec 2018 median,Dec 2019 median,Dec 2020 median,Dec 2021 median,Dec 2022 median,Dec 2023 median,Dec 2024 median,Dec 2025 median,Dec 2026 median
Endeavour Hills - North,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Endeavour Hills - South,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Narre Warren - North East,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Narre Warren - South West,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Berwick - South East,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Berwick - South West,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne South,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne West,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Lynbrook - Lyndhurst,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Pearcedale - Tooradin,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Narre Warren South - East,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Narre Warren South - West,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Clyde North - North,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Clyde North - South,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne East - North,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne East - South,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne North - East,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Cranbourne North - West,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Hampton Park - East,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Hampton Park - West,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Maryborough (Vic.),110.0,115.0,120.0,125.0,130.0,140.0,138.0,143.0,155.0,166.0,170.0,185.0,220.0,225.0,230.0,228.0,230.0,230.0,225.0,258.0,265.0,280.0,295.0,320.0,350.0,-1,-1,-1
Maryborough Surrounds,110.0,115.0,120.0,125.0,130.0,140.0,138.0,143.0,155.0,166.0,170.0,185.0,220.0,225.0,230.0,228.0,230.0,230.0,225.0,258.0,265.0,280.0,295.0,320.0,350.0,-1,-1,-1
Castlemaine Surrounds,110.0,115.0,120.0,125.0,130.0,140.0,138.0,143.0,155.0,166.0,170.0,185.0,220.0,225.0,230.0,228.0,230.0,230.0,225.0,258.0,265.0,280.0,295.0,320.0,350.0,-1,-1,-1
Colac,115.0,120.0,130.0,150.0,160.0,165.0,180.0,175.0,185.0,200.0,210.0,210.0,230.0,248.0,250.0,258.0,260.0,260.0,285.0,300.0,305.0,325.0,380.0,400.0,410.0,-1,-1,-1
