population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless,year,region,median
19531.18095238095,2609.6561904761893,14856.199999999983,8585.0,734.7999999999884,3742.657142857143,2011.2666666666628,789.152380952381,6573.076190476189,39140.80000000028,12603.800000000047,57.886666666666315,7077.599999999977,837.8000000000011,2536.1999999999825,145.1999999999989,2014,Braybrook,344.0
19565.409523809518,2614.2219047619037,14774.299999999988,7806.0,888.1999999999534,3741.6285714285714,2203.066666666651,790.6095238095236,6765.3047619047575,40487.0,13361.5,59.27666666666664,7392.300000000047,842.9000000000015,2628.0999999999767,149.59999999999854,2015,Braybrook,350.0
19599.6380952381,2618.787619047618,14692.399999999965,7027.0,1041.5999999999767,3740.6,2394.8666666666977,792.0666666666666,6957.533333333326,41833.200000000186,14119.200000000186,60.666666666666515,7707.0,848.0,2720.0,154.0,2016,Braybrook,370.0
19633.86666666667,2623.3533333333326,14610.49999999997,6248.0,1194.9999999999418,3739.5714285714284,2586.666666666686,793.5238095238096,7149.761904761894,43179.39999999991,14876.90000000014,62.05666666666639,8021.70000000007,853.1000000000004,2811.899999999994,158.39999999999964,2017,Braybrook,395.0
19668.095238095237,2627.919047619047,14528.599999999977,5469.0,1348.399999999965,3738.542857142857,2778.4666666666744,794.9809523809522,7341.990476190462,44525.60000000009,15634.600000000093,63.446666666666715,8336.400000000023,858.2000000000007,2903.7999999999884,162.79999999999927,2018,Braybrook,400.0
19702.323809523805,2632.4847619047614,14446.699999999983,4690.0,1501.7999999999884,3737.5142857142855,2970.266666666663,796.4380952380952,7534.21904761903,45871.80000000028,16392.300000000047,64.83666666666659,8651.099999999977,863.3000000000011,2995.6999999999825,167.1999999999989,2019,Braybrook,400.0
19736.552380952387,2637.050476190476,14364.799999999988,3911.0,1655.1999999999534,3736.4857142857145,3162.066666666651,797.8952380952378,7726.447619047598,47218.0,17150.0,66.22666666666646,8965.800000000047,868.4000000000015,3087.5999999999767,171.59999999999854,2020,Braybrook,400.0
19770.780952380956,2641.6161904761902,14282.899999999965,3132.0,1808.5999999999767,3735.457142857143,3353.8666666666977,799.3523809523808,7918.676190476166,48564.200000000186,17907.700000000186,67.61666666666633,9280.5,873.5,3179.5,176.0,2021,Braybrook,380.0
19805.009523809524,2646.1819047619047,14200.99999999997,2353.0,1961.9999999999418,3734.4285714285716,3545.666666666686,800.8095238095239,8110.904761904792,49910.39999999991,18665.40000000014,69.00666666666666,9595.20000000007,878.6000000000004,3271.399999999994,180.39999999999964,2022,Braybrook,420.0
19839.23809523809,2650.747619047619,14119.099999999977,1574.0,2115.399999999965,3733.4,3737.4666666666744,802.2666666666664,8303.13333333336,51256.60000000009,19423.100000000093,70.39666666666653,9909.900000000023,883.7000000000007,3363.2999999999884,184.79999999999927,2023,Braybrook,500.0
