region,year,median
Clyde North - South,2000,174.0
Cranbourne East - North,2000,174.0
Cranbourne East - South,2000,174.0
Cranbourne North - East,2000,174.0
Cranbourne North - West,2000,174.0
Hampton Park - East,2000,174.0
Hampton Park - West,2000,174.0
Maryborough (Vic.),2000,115.0
Maryborough Surrounds,2000,115.0
Castlemaine Surrounds,2000,115.0
Colac,2000,120.0
Colac Surrounds,2000,120.0
Otway,2000,120.0
Camperdown,2000,100.0
Corangamite - North,2000,100.0
Corangamite - South,2000,100.0
Moyne - East,2000,100.0
Alphington - Fairfield,2000,170.0
Thornbury,2000,170.0
Northcote - East,2000,170.0
Northcote - West,2000,170.0
Kingsbury,2000,170.0
Preston - East,2000,170.0
Preston - West,2000,170.0
Reservoir - North East,2000,170.0
Reservoir - North West,2000,170.0
Reservoir - South East,2000,170.0
Reservoir - South West,2000,170.0
Alps - East,2000,125.0
Bairnsdale,2000,125.0
Bruthen - Omeo,2000,125.0
Lake King,2000,125.0
Lakes Entrance,2000,125.0
Orbost,2000,125.0
Paynesville,2000,125.0
Longford - Loch Sport,2000,125.0
Carrum Downs,2000,160.0
Frankston,2000,160.0
Frankston North,2000,160.0
Frankston South,2000,160.0
Langwarrin,2000,160.0
Seaford (Vic.),2000,160.0
Skye - Sandhurst,2000,160.0
Buloke,2000,110.0
Gannawarra,2000,110.0
Kerang,2000,110.0
Swan Hill Surrounds,2000,110.0
Bentleigh - McKinnon,2000,190.0
Carnegie,2000,190.0
Caulfield - North,2000,190.0
Caulfield - South,2000,190.0
Elsternwick,2000,190.0
Murrumbeena,2000,190.0
Ormond - Glen Huntly,2000,190.0
Bentleigh East - North,2000,190.0
Bentleigh East - South,2000,190.0
Bendigo,2000,140.0
California Gully - Eaglehawk,2000,140.0
East Bendigo - Kennington,2000,140.0
Flora Hill - Spring Gully,2000,140.0
Kangaroo Flat - Golden Square,2000,140.0
Maiden Gully,2000,140.0
Strathfieldsaye,2000,140.0
White Hills - Ascot,2000,140.0
Bendigo Surrounds - South,2000,140.0
Heathcote,2000,140.0
Bendigo Surrounds - North,2000,140.0
Dandenong North,2000,145.0
Noble Park North,2000,145.0
Springvale,2000,145.0
Springvale South,2000,145.0
Noble Park - East,2000,145.0
Noble Park - West,2000,145.0
Dandenong - North,2000,145.0
Dandenong - South,2000,145.0
Keysborough - North,2000,145.0
Keysborough - South,2000,145.0
Belmont,2000,145.0
Geelong,2000,145.0
Geelong West - Hamlyn Heights,2000,145.0
Highton,2000,145.0
Lara,2000,145.0
Leopold,2000,145.0
Newcomb - Moolap,2000,145.0
Newtown (Vic.),2000,145.0
North Geelong - Bell Park,2000,145.0
Charlemont,2000,145.0
Corio - Lovely Banks,2000,145.0
Grovedale - Mount Duneed,2000,145.0
Norlane,2000,145.0
Clifton Springs,2000,145.0
Portarlington,2000,145.0
Point Lonsdale - Queenscliff,2000,145.0
Barwon Heads - Armstrong Creek,2000,145.0
Ocean Grove,2000,145.0
Benalla Surrounds,2000,140.0
Mooroopna,2000,140.0
Shepparton - North,2000,140.0
Shepparton Surrounds - East,2000,140.0
Shepparton Surrounds - West,2000,140.0
Kialla,2000,140.0
Shepparton - South East,2000,140.0
Daylesford,2000,135.0
Nhill Region,2000,100.0
Altona,2000,180.0
Altona Meadows,2000,180.0
Altona North,2000,180.0
Newport,2000,180.0
Seabrook,2000,180.0
Williamstown,2000,180.0
Laverton,2000,180.0
Horsham,2000,125.0
Horsham Surrounds,2000,125.0
Sunbury,2000,175.0
Sunbury - South,2000,175.0
Sunbury - West,2000,175.0
Broadmeadows,2000,175.0
Campbellfield - Coolaroo,2000,175.0
Gladstone Park - Westmeadows,2000,175.0
Greenvale - Bulla,2000,175.0
Meadow Heights,2000,175.0
Melbourne Airport,2000,175.0
Tullamarine,2000,175.0
Craigieburn - Central,2000,175.0
Craigieburn - North,2000,175.0
