region,median_2023,median_predictions_2026,Growth_Rate (%)
Seabrook,500.0,443.0714951182756,-11.385700976344879
Williamstown,500.0,510.7560593455122,2.1512118691024398
Braybrook,500.0,570.998669443564,14.19973388871281
Footscray,500.0,545.7638618607086,9.152772372141726
Maribyrnong,500.0,492.0816537513192,-1.5836692497361582
Seddon-Kingsville,500.0,520.2077827320946,4.041556546418929
WestFootscray-Tottenham,500.0,501.4417789867566,0.28835579735132344
Yarraville,500.0,525.7338731193277,5.1467746238655305
BacchusMarsh,440.0,518.3377613003447,17.804036659169252
MeltonWest,470.0,539.2990064161493,14.744469450244523
Rockbank-MountCottrell,470.0,697.4607332214883,48.39590068542305
TaylorsHill,470.0,442.7783164572696,-5.791847562283058
Burnside,470.0,447.5973973389674,-4.766511204475016
BurnsideHeights,470.0,414.8182108693792,-11.74080619800443
CarolineSprings,470.0,461.8944947809815,-1.7245755785145707
Brookfield,470.0,423.85062418106486,-9.819016131688327
Cobblebank-Strathtulloh,470.0,490.2926477591586,4.317584629608218
Eynesbury-Exford,470.0,344.85339607010167,-26.626937006361345
FraserRise-Plumpton,470.0,466.10382761671394,-0.8289728475076718
Hillside,470.0,427.5215561340067,-9.037966779998577
Kurunjang-ToolernVale,470.0,410.0436517521425,-12.756669839969675
Melton,470.0,371.2677338540976,-21.006865137426036
MeltonSouth-WeirViews,470.0,443.67658519266854,-5.6007265547513745
HoppersCrossing-North,480.0,509.9055194910476,6.230316560634914
HoppersCrossing-South,480.0,490.1221047435638,2.1087718215757905
Laverton,500.0,560.834747957204,12.166949591440789
Werribee-South,480.0,519.4186959083734,8.21222831424445
PointCook-East,480.0,456.6342286402921,-4.867869033272474
PointCook-South,480.0,542.1840163261496,12.95500340128117
Werribee-East,480.0,503.77358435446854,4.952830073847612
Werribee-West,480.0,508.94518575834024,6.030247032987551
ManorLakes-Quandong,480.0,414.25030133823725,-13.69785388786724
PointCook-NorthEast,480.0,385.60363432235465,-19.665909516176114
PointCook-NorthWest,480.0,354.9586506198714,-26.05028112086013
Tarneit(West)-MountCottrell,480.0,538.4235269724234,12.171568119254866
Tarneit-Central,480.0,580.7832054979484,20.99650114540592
Tarneit-North,480.0,557.0984609854414,16.062179371966963
Tarneit-South,480.0,465.7172951916275,-2.9755635017442708
Truganina-North,480.0,626.7474706082087,30.572389710043474
Truganina-SouthEast,480.0,379.6911242123316,-20.89768245576425
Truganina-SouthWest,480.0,488.66542373922414,1.8052966123383622
WyndhamVale-North,480.0,438.63860027136946,-8.61695827679803
