region,median_2023,median_predictions_2026,Growth_Rate (%)
Knoxfield-Scoresby,535.0,536.44,0.26915887850468306
Lysterfield,535.0,522.46,-2.343925233644853
Rowville-Central,535.0,532.53,-0.46168224299065935
Rowville-North,535.0,523.21,-2.2037383177570025
Rowville-South,535.0,529.22,-1.080373831775696
Wantirna,535.0,530.51,-0.8392523364485998
WantirnaSouth,535.0,548.64,2.549532710280371
Boronia,535.0,514.11,-3.9046728971962588
FerntreeGully-North,535.0,516.17,-3.5196261682243066
FerntreeGully(South)-UpperFerntreeGully,535.0,509.36,-4.792523364485978
TheBasin,535.0,514.85,-3.7663551401869118
Donvale-ParkOrchards,600.0,559.85,-6.691666666666663
Warrandyte-WongaPark,600.0,556.25,-7.291666666666667
BayswaterNorth,520.0,511.47,-1.6403846153846102
CroydonHills-Warranwood,520.0,528.01,1.5403846153846137
Ringwood,520.0,532.06,2.3192307692307588
RingwoodEast,520.0,525.57,1.0711538461538557
RingwoodNorth,520.0,510.65,-1.7980769230769276
Croydon-East,520.0,516.04,-0.7615384615384685
Croydon-West,520.0,509.95,-1.93269230769231
CroydonSouth,520.0,505.88,-2.7153846153846164
ForestHill,550.0,535.76,-2.5890909090909107
Mitcham(Vic.),550.0,535.05,-2.7181818181818267
Nunawading,600.0,552.94,-7.843333333333325
Vermont,520.0,521.11,0.2134615384615411
VermontSouth,550.0,509.71,-7.325454545454549
Belgrave-Selby,515.0,517.58,0.5009708737864157
ChirnsidePark,523.0,517.24,-1.1013384321223694
Healesville-YarraGlen,523.0,502.56,-3.9082217973231352
Kilsyth,523.0,516.32,-1.2772466539196845
Lilydale-Coldstream,523.0,512.46,-2.015296367112804
Monbulk-Silvan,523.0,501.93,-4.028680688336519
Montrose,523.0,518.58,-0.8451242829827837
Mooroolbark,523.0,510.08,-2.470363288718932
MountDandenong-Olinda,523.0,507.51,-2.961759082217975
MountEvelyn,523.0,521.04,-0.37476099426386933
Upwey-Tecoma,523.0,521.75,-0.23900573613766732
Wandin-Seville,523.0,512.51,-2.0057361376673057
YarraValley,523.0,433.12,-17.18546845124283
Emerald-Cockatoo,515.0,507.86,-1.3864077669902886
Beaconsfield-Officer,515.0,547.64,6.3378640776699
Bunyip-Garfield,515.0,483.81,-6.0563106796116495
KooWeeRup,515.0,478.23,-7.139805825242715
Pakenham-NorthEast,515.0,482.57,-6.297087378640779
Pakenham-NorthWest,515.0,433.71,-15.78446601941748
Pakenham-SouthEast,515.0,427.95,-16.902912621359224
Pakenham-SouthWest,515.0,491.57,-4.549514563106798
