Region,2018,2019,2020,2021,2022,2023
Romsey,10 102,10 372,10 612,10 835,11 090,11 268
Coburg North,8 589,8 694,8 775,8 513,8 613,8 826
Fawkner,14 795,14 917,14 781,14 184,14 192,14 707
Gowanbrae,3 120,3 139,3 156,3 141,3 134,3 191
Hadfield,6 110,6 273,6 394,6 298,6 378,6 525
Glenroy - East,15 411,15 554,15 565,14 980,14 870,15 431
Glenroy - West,8 863,9 077,9 246,8 976,9 022,9 349
Oak Park,7 943,8 073,8 153,7 978,8 107,8 289
Pascoe Vale,17 860,17 962,17 951,17 402,17 476,17 934
Sunbury,13 454,13 637,13 858,13 788,13 845,14 231
Diggers Rest,2 989,3 760,4 651,5 302,5 840,6 443
Sunbury - South,14 402,14 719,15 046,15 103,15 485,16 043
Sunbury - West,11 737,11 789,11 547,11 271,11 147,11 380
Broadmeadows,14 555,14 765,14 747,14 063,13 948,14 343
Campbellfield - Coolaroo,17 185,17 146,16 885,16 245,15 882,16 220
Gladstone Park - Westmeadows,18 583,18 614,18 598,18 176,17 994,18 180
Greenvale - Bulla,19 485,20 327,21 279,22 406,23 526,24 613
Meadow Heights,15 876,15 868,15 840,15 070,14 645,14 879
Melbourne Airport,168,156,143,130,130,130
Tullamarine,6 820,6 835,6 824,6 628,6 515,6 582
Craigieburn - Central,8 869,8 844,8 715,8 190,7 987,8 134
Craigieburn - North,12 936,13 007,12 893,12 446,12 431,12 685
Craigieburn - South,19 547,20 665,21 632,22 007,22 586,23 482
Mickleham - Yuroke,9 202,14 052,18 657,23 795,28 568,31 976
Craigieburn - North West,7 482,8 326,9 253,9 975,10 377,10 765
Craigieburn - West,10 988,11 844,12 687,13 194,13 643,14 250
Roxburgh Park (South) - Somerton,10 198,10 123,10 043,9 582,9 509,9 683
Roxburgh Park - North,14 035,14 650,14 993,14 848,14 961,15 185
Bayswater,12 818,12 948,12 992,12 708,12 708,13 029
Knoxfield - Scoresby,16 588,16 923,17 016,16 734,16 708,17 027
Lysterfield,6 919,6 890,6 802,6 654,6 569,6 573
Rowville - Central,15 895,15 885,15 826,15 540,15 463,15 702
Rowville - North,8 267,8 203,8 122,7 962,7 809,7 847
Rowville - South,10 925,10 866,10 754,10 462,10 393,10 479
Wantirna,14 687,14 778,14 866,14 446,14 219,14 519
Wantirna South,18 615,18 629,18 602,18 099,17 974,18 164
Boronia,23 425,23 697,23 924,23 837,23 850,24 196
Ferntree Gully - North,14 477,14 534,14 446,14 247,14 234,14 385
Ferntree Gully (South) - Upper Ferntree Gully,15 415,15 541,15 517,15 451,15 349,15 571
The Basin,4 469,4 455,4 415,4 380,4 314,4 316
Donvale - Park Orchards,16 804,16 777,16 668,16 410,16 405,16 511
Warrandyte - Wonga Park,10 590,10 551,10 404,10 181,10 090,10 139
Bayswater North,12 392,12 423,12 332,11 967,11 839,11 921
Croydon Hills - Warranwood,18 766,18 727,18 640,18 232,18 152,18 326
Ringwood,18 504,18 876,19 158,18 919,18 977,19 317
Ringwood East,21 495,21 660,21 785,21 351,21 262,21 461
Ringwood North,10 073,10 044,9 931,9 723,9 665,9 700
Croydon - East,16 181,16 305,16 403,16 236,16 215,16 594
Croydon - West,14 324,14 519,14 561,14 246,14 207,14 605
Croydon South,4 918,4 949,5 015,4 936,4 977,5 046
Forest Hill,11 260,11 204,11 166,10 866,10 867,11 023
Mitcham (Vic.),17 231,17 282,17 338,16 930,17 017,17 319
Nunawading,12 786,12 840,12 861,12 518,12 602,12 927
Vermont,11 144,11 260,11 337,11 079,10 993,11 150
Vermont South,12 391,12 386,12 303,12 042,12 046,12 181
Belgrave - Selby,10 429,10 378,10 339,10 091,9 990,9 961
Chirnside Park,11 046,11 468,11 767,11 876,12 087,12 392
Healesville - Yarra Glen,14 367,14 420,14 335,14 181,14 100,14 121
Kilsyth,9 685,9 879,9 962,9 980,10 105,10 351
Lilydale - Coldstream,19 822,19 913,19 952,19 786,19 909,20 043
Monbulk - Silvan,5 865,5 852,5 878,5 859,5 795,5 807
Montrose,7 139,7 110,7 051,6 993,6 962,6 928
Mooroolbark,23 587,23 843,23 917,23 442,23 607,23 985
Mount Dandenong - Olinda,10 074,10 051,9 953,9 770,9 642,9 633
Mount Evelyn,10 086,10 059,9 949,9 866,9 807,9 919
Upwey - Tecoma,10 024,9 996,9 952,9 848,9 732,9 777
Wandin - Seville,8 011,7 997,7 996,7 963,7 950,7 989
Yarra Valley,16 862,16 960,17 006,16 947,16 957,16 963
Emerald - Cockatoo,18 776,18 843,18 838,18 802,18 741,18 911
Beaconsfield - Officer,17 743,20 259,22 381,23 966,25 775,26 967
Bunyip - Garfield,9 121,9 402,9 701,9 940,10 063,10 193
Koo Wee Rup,8 303,8 757,9 387,10 160,10 814,11 523
Pakenham - North East,15 322,15 545,15 625,15 622,15 793,16 028
Pakenham - North West,6 040,6 587,7 128,7 567,8 103,8 808
Pakenham - South East,5 452,5 799,6 215,6 493,6 601,6 689
Pakenham - South West,26 346,26 963,27 387,27 171,27 453,27 999
Berwick - North,23 851,23 878,23 710,23 181,23 076,23 563
Doveton,12 260,12 345,12 513,12 058,12 169,12 515
Hallam,11 697,11 911,11 968,11 598,11 580,11 765
Narre Warren North,8 372,8 383,8 365,8 308,8 236,8 206
Endeavour Hills - North,12 570,12 550,12 458,12 190,12 077,12 048
Endeavour Hills - South,14 060,13 989,13 845,13 461,13 309,13 506
Narre Warren - North East,14 030,14 010,13 888,13 617,13 500,13 656
Narre Warren - South West,14 951,15 097,15 170,14 900,14 955,15 266
Berwick - South East,17 693,17 857,17 923,17 986,18 378,19 159
Berwick - South West,10 552,10 918,11 196,11 362,11 653,12 125
Cranbourne,21 414,21 516,21 673,21 581,21 616,22 034
Cranbourne South,10 722,12 870,15 388,17 641,19 727,21 862
Cranbourne West,18 628,19 788,20 867,21 853,22 959,23 813
Lynbrook - Lyndhurst,17 230,17 631,18 118,18 271,18 648,19 029
Pearcedale - Tooradin,8 146,8 160,8 140,8 083,8 104,8 142
Narre Warren South - East,13 707,13 611,13 417,13 270,13 168,13 162
Narre Warren South - West,17 630,17 539,17 356,16 930,16 777,17 099
Clyde North - North,5 685,7 501,9 217,10 652,11 702,12 529
Clyde North - South,4 175,8 007,11 904,15 038,18 009,20 688
Cranbourne East - North,21 760,22 806,23 384,23 785,24 269,24 860
Cranbourne East - South,8 073,9 701,11 120,12 450,13 665,14 472
Cranbourne North - East,11 050,11 982,12 658,12 925,13 271,13 578
Cranbourne North - West,12 452,12 428,12 327,12 042,11 986,12 193
Hampton Park - East,13 348,13 464,13 386,12 858,12 843,13 136
Hampton Park - West,14 031,14 064,13 979,13 518,13 427,13 704
Clarinda - Oakleigh South,12 285,12 222,12 134,11 653,11 500,11 674
Clayton South,13 662,14 096,14 152,13 562,13 949,14 740
Dandenong North,23 930,23 974,23 655,22 834,22 565,22 908
Dingley Village,10 700,10 766,10 736,10 553,10 557,10 673
Noble Park North,7 858,7 828,7 762,7 518,7 466,7 592
Springvale,23 549,23 774,23 650,22 515,22 639,23 509
Springvale South,13 327,13 338,13 295,12 728,12 463,12 828
Noble Park - East,13 487,13 597,13 605,12 889,12 868,13 362
Noble Park - West,20 027,20 275,20 237,19 810,19 682,20 206
Dandenong - North,23 382,23 377,23 012,21 820,21 384,22 193
Dandenong - South,9 931,9 993,9 898,9 491,9 558,9 826
Keysborough - North,15 830,15 819,15 619,15 205,15 006,15 119
Keysborough - South,13 574,14 321,14 915,15 290,15 663,16 249
Ashwood - Chadstone,19 978,20 259,20 324,19 782,20 077,20 600
Glen Waverley - East,22 569,22 712,22 684,21 882,21 755,22 429
Glen Waverley - West,20 912,21 349,21 761,21 324,21 545,22 533
Mount Waverley - North,16 352,16 471,16 649,16 238,16 302,16 796
Mount Waverley - South,19 912,20 087,20 062,19 471,19 608,20 236
Mulgrave,20 623,20 684,20 698,20 072,20 232,20 690
Oakleigh - Huntingdale,23 265,23 577,23 721,23 253,23 558,24 439
Wheelers Hill,21 049,21 137,21 193,20 854,20 691,20 973
Clayton (North) - Notting Hill,11 830,11 725,11 715,10 099,10 735,12 753
Clayton - Central,13 524,13 834,14 027,12 276,12 914,14 178
Ardeer - Albion,8 228,8 183,8 082,7 590,7 480,7 711
Cairnlea,10 444,10 452,10 510,10 142,10 012,10 101
Delahey,8 732,8 663,8 533,8 148,8 039,8 019
Keilor Downs,13 870,13 765,13 567,13 193,12 990,13 011
Kings Park (Vic.),14 621,14 651,14 477,14 076,13 845,13 879
St Albans - North,21 726,21 850,21 663,20 838,20 335,20 760
St Albans - South,18 494,18 560,18 385,17 656,17 134,17 496
Sunshine,10 318,10 306,10 100,9 568,9 629,9 940
Sunshine North,12 461,12 490,12 451,12 161,11 990,12 214
Sunshine West,19 893,19 915,19 633,18 770,18 307,18 572
Sydenham,12 679,12 660,12 432,11 859,11 606,11 804
Taylors Lakes,18 175,17 974,17 614,17 070,16 771,16 927
Deer Park,19 291,19 238,18 976,18 219,17 990,18 202
Derrimut,9 037,9 114,9 015,8 748,8 726,8 851
Altona,13 657,13 861,13 878,13 655,13 728,13 899
Altona Meadows,20 101,20 031,19 500,18 660,18 360,18 644
Altona North,15 185,15 400,15 396,15 084,15 071,15 387
Newport,18 975,19 261,19 414,18 983,18 961,19 487
Seabrook,5 397,5 368,5 250,4 999,4 867,4 926
Williamstown,16 655,16 795,16 659,16 075,16 179,16 586
Braybrook,19 700,19 811,19 901,19 359,19 541,20 210
Footscray,17 905,18 054,18 092,17 419,18 127,19 957
Maribyrnong,13 204,13 241,13 263,12 712,12 906,13 408
Seddon - Kingsville,9 813,9 815,9 724,9 363,9 374,9 575
West Footscray - Tottenham,12 258,12 447,12 370,11 881,11 996,12 592
Yarraville,15 991,16 092,16 068,15 651,15 661,16 020
Bacchus Marsh,22 493,23 360,24 263,25 057,25 628,26 055
Melton West,20 034,20 993,21 432,21 505,21 849,22 255
Rockbank - Mount Cottrell,7 572,10 344,13 341,17 900,22 960,27 259
Taylors Hill,20 453,20 444,20 288,19 794,19 884,19 892
Burnside,5 400,5 549,5 743,5 857,6 017,6 225
Burnside Heights,6 658,6 741,6 628,6 440,6 356,6 500
Caroline Springs,21 404,21 352,21 238,20 634,20 698,20 942
Brookfield,9 691,9 787,9 901,9 948,9 976,10 167
Cobblebank - Strathtulloh,2 763,4 343,6 158,7 715,8 876,10 248
Eynesbury - Exford,2 999,2 995,3 020,3 026,3 132,3 427
Fraser Rise - Plumpton,7 015,8 001,8 767,10 239,12 991,16 420
Hillside,16 859,16 717,16 495,16 346,16 230,16 143
Kurunjang - Toolern Vale,11 671,11 908,11 979,11 748,11 831,11 914
