Craigieburn - North,827,845,864,1 122,1 082
Craigieburn - South,1 454,1 639,1 777,2 215,2 226
Mickleham - Yuroke,690,1 053,1 473,2 609,2 956
Craigieburn - North West,513,613,695,1 069,1 092
Craigieburn - West,766,856,966,1 369,1 374
Roxburgh Park (South) - Somerton,939,1 015,1 080,1 299,1 263
Roxburgh Park - North,817,904,981,1 230,1 187
Bayswater,1 928,1 985,2 012,2 127,2 095
Knoxfield - Scoresby,1 690,1 779,1 928,2 086,2 101
Lysterfield,603,602,636,663,640
Rowville - Central,1 182,1 227,1 259,1 350,1 337
Rowville - North,734,750,745,793,759
Rowville - South,843,859,850,879,875
Wantirna,997,1 015,1 008,1 101,1 103
Wantirna South,1 589,1 596,1 599,1 685,1 639
Boronia,1 547,1 549,1 563,1 710,1 715
Ferntree Gully - North,874,854,890,968,949
Ferntree Gully (South) - Upper Ferntree Gully,1 221,1 227,1 287,1 333,1 324
The Basin,278,272,272,306,289
Donvale - Park Orchards,1 730,1 748,1 781,1 872,1 888
Warrandyte - Wonga Park,1 317,1 325,1 320,1 384,1 341
Bayswater North,1 423,1 416,1 453,1 525,1 490
Croydon Hills - Warranwood,1 273,1 246,1 250,1 319,1 313
Ringwood,1 898,1 951,2 007,2 184,2 155
Ringwood East,1 332,1 327,1 392,1 496,1 437
Ringwood North,722,723,759,788,782
Croydon - East,1 077,1 097,1 128,1 213,1 172
Croydon - West,931,909,976,1 060,1 005
Croydon South,529,521,550,611,614
Forest Hill,836,873,873,908,888
Mitcham (Vic.),1 555,1 626,1 674,1 757,1 736
Nunawading,1 311,1 399,1 495,1 641,1 611
Vermont,957,963,1 014,1 112,1 131
Vermont South,953,974,986,1 063,1 080
Belgrave - Selby,887,877,874,928,910
Chirnside Park,868,935,936,1 023,1 016
Healesville - Yarra Glen,1 372,1 377,1 407,1 477,1 462
Kilsyth,709,719,751,823,808
Lilydale - Coldstream,1 828,1 825,1 880,1 971,1 957
Monbulk - Silvan,760,745,760,781,784
Montrose,537,531,548,568,552
Mooroolbark,1 420,1 371,1 412,1 495,1 469
Mount Dandenong - Olinda,980,976,966,984,935
Mount Evelyn,793,819,824,873,855
Upwey - Tecoma,665,652,693,726,694
Wandin - Seville,964,983,1 007,1 051,1 063
Yarra Valley,1 289,1 301,1 320,1 439,1 435
Emerald - Cockatoo,1 693,1 704,1 752,1 840,1 853
Beaconsfield - Officer,1 375,1 512,1 639,2 029,2 092
Bunyip - Garfield,1 128,1 133,1 162,1 218,1 228
Koo Wee Rup,954,992,1 041,1 121,1 123
Pakenham - North East,702,729,826,1 002,956
Pakenham - North West,399,420,488,636,674
Pakenham - South East,670,715,805,986,988
Pakenham - South West,1 497,1 675,1 827,2 286,2 340
Berwick - North,2 177,2 140,2 229,2 327,2 275
Doveton,769,846,932,1 174,1 140
Hallam,1 824,1 867,1 911,2 166,2 110
Narre Warren North,1 068,1 077,1 134,1 187,1 172
Endeavour Hills - North,823,884,907,986,967
Endeavour Hills - South,943,985,1 021,1 125,1 088
Narre Warren - North East,775,761,812,978,894
Narre Warren - South West,1 218,1 278,1 365,1 604,1 556
Berwick - South East,1 118,1 141,1 196,1 387,1 372
Berwick - South West,645,678,725,879,848
Cranbourne,1 360,1 467,1 542,1 878,1 793
Cranbourne South,1 055,1 152,1 299,1 705,1 875
Cranbourne West,1 082,1 261,1 394,1 925,1 976
Lynbrook - Lyndhurst,1 220,1 304,1 390,1 680,1 733
Pearcedale - Tooradin,784,788,804,848,837
Narre Warren South - East,866,880,912,1 032,1 025
Narre Warren South - West,1 022,1 071,1 097,1 305,1 300
Clyde North - North,354,522,636,903,977
Clyde North - South,337,620,902,1 657,2 070
