Region,2018,2019,2020,2021,2022,2023
Bentleigh East - South,3 039.1,3 058.5,3 079,3 086,3 077.5,3 152
Aspendale Gardens - Waterways,1 766.8,1 757,1 731.2,1 681.1,1 679.2,1 698
Braeside,5.2,4.5,3.7,3.1,3.1,3.1
Carrum - Patterson Lakes,2 117.5,2 117.5,2 106.6,2 080.1,2 090.2,2 120.8
Chelsea - Bonbeach,2 804.7,2 824.5,2 844.6,2 824.5,2 832.6,2 876.8
Chelsea Heights,1 741,1 747.9,1 740.4,1 697.9,1 681.9,1 683.1
Highett (East) - Cheltenham ,2 774.1,2 806.3,2 839.2,2 787.3,2 810.3,2 893.5
Edithvale - Aspendale,2 671.9,2 710.3,2 701.5,2 680.1,2 678.6,2 728.4
Mentone,3 104,3 119.8,3 113.7,2 989.4,3 004.5,3 084.7
Moorabbin - Heatherton,808.6,815.1,807.7,786.1,788.1,805.7
Moorabbin Airport,3.3,5.2,6.8,8.5,8.5,8.5
Mordialloc - Parkdale,2 680.4,2 725.1,2 733.7,2 689.3,2 688.1,2 747.1
Malvern - Glen Iris,3 473.2,3 507.9,3 486,3 325.5,3 340.1,3 468.3
Malvern East,3 037.4,3 052.8,3 050.1,2 934.2,2 962.4,3 061.7
Bundoora - East,2 542.1,2 545.3,2 526.4,2 434.4,2 415,2 459.9
Greensborough,2 125.3,2 126.9,2 116.7,2 079.2,2 065.4,2 077.8
Heidelberg - Rosanna,2 535.3,2 589.3,2 613.1,2 542.8,2 560.9,2 605
Heidelberg West,2 271.9,2 323.1,2 322.5,2 247.6,2 284.3,2 368.3
Ivanhoe,2 503.7,2 547.6,2 551.2,2 487,2 492.8,2 559.3
Ivanhoe East - Eaglemont,1 902.1,1 904.4,1 866.8,1 823.5,1 826.6,1 865.1
Montmorency - Briar Hill,1 406.8,1 409.9,1 405.5,1 385.1,1 383.6,1 401.1
Viewbank - Yallambie,1 877.3,1 879.7,1 874.2,1 845.2,1 839.6,1 859.7
Watsonia,2 522.9,2 510.8,2 503.1,2 457.9,2 444.2,2 472.7
Kingsbury,1 339.8,1 308.9,1 279.2,1 170.9,1 195.6,1 298.4
Preston - East,2 781.3,2 790.3,2 807.5,2 710.8,2 727.6,2 841.8
Preston - West,3 678.1,3 710.9,3 721.5,3 594.3,3 578,3 685.4
Reservoir - North East,3 236.4,3 255.6,3 250.8,3 130.1,3 124.5,3 229.5
