Pakenham - South West,797,812,851,883,953,971
Berwick - North,1 566,1 581,1 602,1 651,1 728,1 742
Doveton,753,797,843,905,939,1 068
Hallam,740,784,798,803,836,844
Narre Warren North,15,15,15,15,15,15
Endeavour Hills - North,394,408,429,447,463,470
Endeavour Hills - South,582,584,588,595,597,598
Narre Warren - North East,106,106,106,106,106,106
Narre Warren - South West,155,198,230,347,382,454
Berwick - South East,156,176,196,200,201,204
Berwick - South West,38,81,134,134,154,155
Cranbourne,1 182,1 204,1 238,1 272,1 346,1 377
Cranbourne South,269,270,279,281,281,281
Cranbourne West,746,828,828,861,1 100,1 121
Lynbrook - Lyndhurst,249,273,311,329,333,333
Pearcedale - Tooradin,14,14,14,14,15,17
Narre Warren South - East,123,123,123,123,126,126
Narre Warren South - West,499,499,499,499,499,499
Clyde North - North,105,106,111,111,111,130
Clyde North - South,16,17,17,44,60,68
Cranbourne East - North,457,538,668,672,708,717
Cranbourne East - South,231,323,324,334,365,397
Cranbourne North - East,144,144,176,176,176,176
Cranbourne North - West,165,165,166,172,188,212
Hampton Park - East,227,259,260,262,262,262
Hampton Park - West,219,243,256,299,308,321
Clarinda - Oakleigh South,361,371,380,391,415,430
Clayton South,1 387,1 484,1 690,1 750,1 799,1 847
Dandenong North,915,942,964,972,994,1 021
Dingley Village,723,739,757,759,761,761
Noble Park North,14,18,20,20,25,28
Springvale,1 191,1 515,1 664,1 715,1 823,1 871
Springvale South,322,322,339,343,419,436
Noble Park - East,682,732,762,820,897,937
Noble Park - West,748,826,1 041,1 096,1 154,1 188
Dandenong - North,3 165,3 296,3 401,3 486,3 546,3 587
Dandenong - South,911,931,941,989,994,1 001
Keysborough - North,462,483,486,490,492,494
Keysborough - South,107,169,338,463,463,463
Ashwood - Chadstone,1 198,1 297,1 408,1 497,1 578,1 637
Glen Waverley - East,572,596,633,662,710,743
Glen Waverley - West,842,879,937,1 004,1 059,1 097
Mount Waverley - North,150,215,288,359,423,461
Mount Waverley - South,654,718,801,884,962,1 008
Mulgrave,1 080,1 112,1 154,1 194,1 229,1 275
Oakleigh - Huntingdale,1 141,1 235,1 345,1 451,1 520,1 561
Wheelers Hill,423,440,460,473,493,506
Clayton (North) - Notting Hill,654,673,689,707,721,750
Clayton - Central,2 119,2 195,2 262,2 367,2 527,2 574
Ardeer - Albion,547,573,615,647,670,724
Cairnlea,215,216,216,235,235,235
Delahey,577,579,581,584,586,586
Keilor Downs,501,515,521,552,589,599
Kings Park (Vic.),84,87,92,129,134,140
St Albans - North,1 249,1 319,1 376,1 449,1 510,1 567
St Albans - South,640,654,733,761,834,854
Sunshine,718,808,833,867,892,1 026
Sunshine North,416,458,486,525,549,584
Sunshine West,899,930,966,992,1 022,1 046
Sydenham,1 278,1 295,1 326,1 338,1 356,1 359
Taylors Lakes,561,563,568,571,574,575
Deer Park,714,748,768,794,810,823
Derrimut,77,77,80,83,83,83
Altona,1 450,1 544,1 639,1 733,1 813,1 865
Altona Meadows,714,734,747,758,769,781
Altona North,1 360,1 497,1 626,1 733,1 882,1 998
Newport,1 912,2 026,2 161,2 247,2 323,2 379
Seabrook,58,58,58,58,58,58
Williamstown,2 112,2 135,2 173,2 206,2 228,2 251
Braybrook,2 623,2 748,2 935,3 160,3 404,3 527
Footscray,1 242,1 265,1 278,1 303,1 326,1 346
Maribyrnong,1 671,1 714,1 729,1 741,1 801,1 810
Seddon - Kingsville,554,575,591,628,649,672
West Footscray - Tottenham,778,813,869,931,1 028,1 079
Yarraville,906,973,1 017,1 077,1 123,1 166
Bacchus Marsh,785,813,863,875,885,898
Melton West,358,379,381,385,394,409
Rockbank - Mount Cottrell,1,3,13,43,102,183
Taylors Hill,823,823,823,823,823,823
Burnside,306,306,306,306,309,309
Burnside Heights,162,162,162,170,170,170
Caroline Springs,518,522,522,526,526,552
Brookfield,374,378,380,384,385,386
Cobblebank - Strathtulloh,6,12,12,73,80,85
Eynesbury - Exford,1,5,5,5,5,5
Fraser Rise - Plumpton,143,151,153,153,174,243
Hillside,502,504,506,506,506,506
Kurunjang - Toolern Vale,239,244,245,249,249,249
Melton,600,606,608,609,614,615
Melton South - Weir Views,663,672,676,678,685,748
Hoppers Crossing - North,682,692,710,718,722,728
Hoppers Crossing - South,354,362,368,378,383,386
Laverton,310,362,422,473,529,584
Werribee - South,962,991,1 007,1 071,1 083,1 094
