Region,2016,2017,2018,2019,2020
Campbellfield - Coolaroo,35 759,35 553,35 707,37 155,37 678
Gladstone Park - Westmeadows,46 951,48 406,49 166,51 616,52 112
Greenvale - Bulla,49 193,50 279,51 654,54 069,55 286
Meadow Heights,36 400,37 000,37 904,39 246,40 034
Melbourne Airport,41 216,45 697,48 493,50 700,43 082
Tullamarine,49 066,50 183,51 599,52 864,53 649
Craigieburn - Central,45 672,45 816,46 365,47 641,47 887
Craigieburn - North,48 251,48 145,49 167,51 085,51 494
Craigieburn - South,46 163,46 676,47 479,48 568,48 754
Mickleham - Yuroke,,,,,
Craigieburn - North West,,,,,
Craigieburn - West,,,,,
Roxburgh Park (South) - Somerton,,,,,
Roxburgh Park - North,,,,,
Bayswater,46 115,46 680,48 747,50 128,50 974
Knoxfield - Scoresby,46 091,47 376,48 557,50 921,51 441
Lysterfield,52 119,52 858,54 743,56 336,58 064
Rowville - Central,47 623,48 443,50 125,51 920,53 556
Rowville - North,49 455,49 996,52 075,53 111,54 817
Rowville - South,50 443,51 125,52 632,53 535,54 292
Wantirna,45 152,45 406,46 633,48 658,49 487
Wantirna South,44 702,45 470,46 780,48 434,48 547
Boronia,46 977,47 526,49 399,51 495,52 664
Ferntree Gully - North,47 495,48 232,49 642,51 491,52 898
Ferntree Gully (South) - Upper Ferntree Gully,47 709,48 124,50 092,52 396,53 005
The Basin,50 044,50 594,51 067,54 777,54 926
Donvale - Park Orchards,49 793,49 979,50 735,52 268,52 567
Warrandyte - Wonga Park,52 989,54 155,55 011,57 434,58 489
Bayswater North,48 908,49 855,51 111,52 676,54 585
Croydon Hills - Warranwood,50 354,51 268,52 995,55 075,56 783
Ringwood,45 875,46 758,48 466,50 678,51 776
Ringwood East,48 580,50 280,51 592,53 897,54 648
Ringwood North,50 633,51 044,52 794,54 948,55 931
Croydon - East,47 864,48 752,50 598,52 390,53 290
Croydon - West,46 901,48 598,49 419,51 471,51 778
Croydon South,49 421,49 905,51 460,52 306,55 331
Forest Hill,43 345,44 518,46 295,47 612,48 184
Mitcham (Vic.),50 307,50 774,52 436,53 085,55 386
Nunawading,47 781,48 849,50 193,50 739,52 902
Vermont,46 635,46 970,47 530,50 431,52 489
Vermont South,41 674,42 437,42 348,44 201,44 218
Belgrave - Selby,48 629,50 490,51 296,53 055,54 641
Chirnside Park,47 118,49 304,51 146,53 497,53 444
Healesville - Yarra Glen,42 483,43 147,44 776,47 104,47 636
Kilsyth,46 724,47 591,49 591,51 353,53 778
Lilydale - Coldstream,47 064,47 862,49 666,52 006,53 609
Monbulk - Silvan,43 595,44 915,46 045,48 222,49 044
Montrose,47 831,49 794,51 060,53 267,55 274
Mooroolbark,48 261,49 058,50 593,52 876,53 617
Mount Dandenong - Olinda,47 550,48 432,49 421,51 924,53 335
Mount Evelyn,47 502,47 003,49 054,51 498,52 241
Upwey - Tecoma,49 574,51 408,53 054,55 406,56 165
Wandin - Seville,45 401,47 013,50 071,51 657,52 736
Yarra Valley,41 783,43 275,45 106,46 606,46 874
Emerald - Cockatoo,46 956,48 793,51 277,52 792,53 950
Beaconsfield - Officer,,,,,
Bunyip - Garfield,,,,,
Koo Wee Rup,,,,,
Pakenham - North East,,,,,
Pakenham - North West,,,,,
Pakenham - South East,,,,,
Pakenham - South West,,,,,
Berwick - North,49 000,49 083,51 353,53 002,54 102
Doveton,37 815,38 878,40 209,42 311,42 694
Hallam,42 532,43 385,44 062,44 234,45 373
Narre Warren North,49 513,50 080,52 262,53 639,54 894
Endeavour Hills - North,45 610,46 517,47 811,48 873,49 393
Endeavour Hills - South,44 408,45 339,46 427,47 321,48 739
Narre Warren - North East,46 429,46 930,48 869,50 238,50 971
Narre Warren - South West,45 562,46 024,46 712,47 749,48 646
Berwick - South East,,,,,
Berwick - South West,,,,,
Cranbourne,44 122,45 153,46 576,48 067,48 306
Cranbourne South,49 156,50 678,53 619,55 440,56 952
Cranbourne West,48 301,48 956,49 496,50 591,51 719
Lynbrook - Lyndhurst,49 927,50 336,51 352,52 114,53 459
Pearcedale - Tooradin,46 393,47 881,49 975,52 929,53 071
Narre Warren South - East,47 372,48 581,49 704,50 794,51 316
Narre Warren South - West,46 568,46 509,47 731,49 029,50 166
Clyde North - North,,,,,
Clyde North - South,,,,,
Cranbourne East - North,,,,,
Cranbourne East - South,,,,,
Cranbourne North - East,,,,,
Cranbourne North - West,,,,,
Hampton Park - East,,,,,
Hampton Park - West,,,,,
Clarinda - Oakleigh South,44 289,45 207,46 330,48 624,49 454
Clayton South,40 003,40 149,40 706,41 948,42 781
Dandenong North,40 885,41 992,43 163,45 046,45 310
Dingley Village,47 779,48 051,49 812,51 882,52 104
