Region,2018,2019,2020,2021,2022,2023
Craigieburn - South,----,----,----,----,2 666,2 374
Mickleham - Yuroke,----,----,----,----,5 522,4 158
Craigieburn - North West,----,----,----,----,1 153,794
Craigieburn - West,----,----,----,----,1 715,1 257
Roxburgh Park (South) - Somerton,----,----,----,----,949,628
Roxburgh Park - North,----,----,----,----,1 510,1 020
Bayswater,----,----,----,----,1 508,1 184
Knoxfield - Scoresby,----,----,----,----,1 662,1 351
Lysterfield,----,----,----,----,511,353
Rowville - Central,----,----,----,----,1 549,1 154
Rowville - North,----,----,----,----,612,452
Rowville - South,----,----,----,----,814,617
Wantirna,----,----,----,----,1 348,1 098
Wantirna South,----,----,----,----,1 717,1 245
Boronia,----,----,----,----,2 714,2 012
Ferntree Gully - North,----,----,----,----,1 451,1 105
Ferntree Gully (South) - Upper Ferntree Gully,----,----,----,----,1 437,1 098
The Basin,----,----,----,----,382,282
Donvale - Park Orchards,----,----,----,----,1 499,1 125
Warrandyte - Wonga Park,----,----,----,----,827,603
Bayswater North,----,----,----,----,1 121,889
Croydon Hills - Warranwood,----,----,----,----,1 582,1 292
Ringwood,----,----,----,----,2 391,1 784
Ringwood East,----,----,----,----,2 096,1 597
Ringwood North,----,----,----,----,839,594
Croydon - East,----,----,----,----,1 965,1 641
Croydon - West,----,----,----,----,1 597,1 332
Croydon South,----,----,----,----,537,398
Forest Hill,----,----,----,----,1 078,794
Mitcham (Vic.),----,----,----,----,1 861,1 319
Nunawading,----,----,----,----,1 333,971
Vermont,----,----,----,----,914,749
Vermont South,----,----,----,----,1 087,727
Belgrave - Selby,----,----,----,----,841,599
Chirnside Park,----,----,----,----,1 271,983
Healesville - Yarra Glen,----,----,----,----,1 109,730
Kilsyth,----,----,----,----,1 228,946
Lilydale - Coldstream,----,----,----,----,1 950,1 513
Monbulk - Silvan,----,----,----,----,488,356
Montrose,----,----,----,----,588,427
Mooroolbark,----,----,----,----,2 320,1 853
Mount Dandenong - Olinda,----,----,----,----,779,584
Mount Evelyn,----,----,----,----,886,637
Upwey - Tecoma,----,----,----,----,811,559
Wandin - Seville,----,----,----,----,693,457
Yarra Valley,----,----,----,----,1 263,989
Emerald - Cockatoo,----,----,----,----,1 436,1 135
Beaconsfield - Officer,----,----,----,----,3 752,2 934
Bunyip - Garfield,----,----,----,----,929,680
Koo Wee Rup,----,----,----,----,1 429,1 307
Pakenham - North East,----,----,----,----,2 194,1 575
Pakenham - North West,----,----,----,----,1 386,1 327
Pakenham - South East,----,----,----,----,910,821
Pakenham - South West,----,----,----,----,3 096,2 364
Berwick - North,----,----,----,----,2 247,1 871
Doveton,----,----,----,----,1 611,1 212
Hallam,----,----,----,----,1 249,885
Narre Warren North,----,----,----,----,640,479
Endeavour Hills - North,----,----,----,----,1 031,777
Endeavour Hills - South,----,----,----,----,1 150,856
Narre Warren - North East,----,----,----,----,1 256,971
Narre Warren - South West,----,----,----,----,1 846,1 344
Berwick - South East,----,----,----,----,2 234,1 809
Berwick - South West,----,----,----,----,1 525,1 388
Cranbourne,----,----,----,----,2 826,2 173
Cranbourne South,----,----,----,----,3 256,3 056
Cranbourne West,----,----,----,----,2 977,2 165
Lynbrook - Lyndhurst,----,----,----,----,1 814,1 135
Pearcedale - Tooradin,----,----,----,----,770,556
Narre Warren South - East,----,----,----,----,1 282,885
Narre Warren South - West,----,----,----,----,1 680,1 255
Clyde North - North,----,----,----,----,1 719,1 579
Clyde North - South,----,----,----,----,3 561,3 201
Cranbourne East - North,----,----,----,----,2 698,2 013
Cranbourne East - South,----,----,----,----,2 249,1 728
Cranbourne North - East,----,----,----,----,1 502,1 057
Cranbourne North - West,----,----,----,----,1 498,1 024
Hampton Park - East,----,----,----,----,1 390,954
Hampton Park - West,----,----,----,----,1 492,1 067
Clarinda - Oakleigh South,----,----,----,----,862,681
Clayton South,----,----,----,----,1 596,1 050
Dandenong North,----,----,----,----,2 046,1 505
Dingley Village,----,----,----,----,756,557
Noble Park North,----,----,----,----,722,536
Springvale,----,----,----,----,2 089,1 333
Springvale South,----,----,----,----,974,746
Noble Park - East,----,----,----,----,1 599,1 120
Noble Park - West,----,----,----,----,1 932,1 383
Dandenong - North,----,----,----,----,2 399,2 045
Dandenong - South,----,----,----,----,1 119,771
Keysborough - North,----,----,----,----,1 191,831
Keysborough - South,----,----,----,----,1 300,1 031
Ashwood - Chadstone,----,----,----,----,2 467,1 652
Glen Waverley - East,----,----,----,----,1 987,1 470
Glen Waverley - West,----,----,----,----,2 375,1 539
Mount Waverley - North,----,----,----,----,1 653,1 186
Mount Waverley - South,----,----,----,----,2 106,1 506
Mulgrave,----,----,----,----,1 853,1 281
Oakleigh - Huntingdale,----,----,----,----,2 523,1 711
Wheelers Hill,----,----,----,----,1 559,1 211
Clayton (North) - Notting Hill,----,----,----,----,1 447,1 331
Clayton - Central,----,----,----,----,1 633,1 302
Ardeer - Albion,----,----,----,----,942,766
Cairnlea,----,----,----,----,699,542
Delahey,----,----,----,----,726,504
Keilor Downs,----,----,----,----,1 040,782
Kings Park (Vic.),----,----,----,----,1 286,872
St Albans - North,----,----,----,----,2 078,1 595
St Albans - South,----,----,----,----,2 094,1 405
Sunshine,----,----,----,----,1 220,868
Sunshine North,----,----,----,----,1 249,853
Sunshine West,----,----,----,----,1 570,1 161
