Region,2018,2019,2020,2021,2022,2023
Belgrave - Selby,7 075,7 014,6 921,6 684,6 547,----
Chirnside Park,7 187,7 421,7 554,7 534,7 570,----
Healesville - Yarra Glen,8 886,8 897,8 773,8 584,8 456,----
Kilsyth,5 988,6 133,6 181,6 158,6 260,----
Lilydale - Coldstream,12 978,13 039,13 017,12 766,12 801,----
Monbulk - Silvan,3 686,3 667,3 688,3 720,3 605,----
Montrose,4 443,4 397,4 336,4 270,4 223,----
Mooroolbark,15 590,15 729,15 696,15 216,15 210,----
Mount Dandenong - Olinda,6 494,6 448,6 346,6 155,6 015,----
Mount Evelyn,6 775,6 700,6 583,6 427,6 311,----
Upwey - Tecoma,6 942,6 880,6 762,6 604,6 452,----
Wandin - Seville,5 304,5 313,5 292,5 231,5 183,----
Yarra Valley,10 923,10 966,10 910,10 722,10 690,----
Emerald - Cockatoo,12 425,12 431,12 326,12 146,12 022,----
Beaconsfield - Officer,12 299,13 989,15 374,16 346,17 536,----
Bunyip - Garfield,5 850,6 015,6 172,6 291,6 311,----
Koo Wee Rup,5 270,5 581,5 966,6 414,6 784,----
Pakenham - North East,9 961,10 105,10 138,10 089,10 281,----
Pakenham - North West,3 962,4 325,4 660,4 916,5 287,----
Pakenham - South East,3 379,3 641,3 940,4 136,4 147,----
Pakenham - South West,16 844,17 284,17 582,17 360,17 622,----
Berwick - North,15 134,15 093,14 907,14 432,14 329,----
Doveton,8 182,8 290,8 456,8 093,8 213,----
Hallam,7 739,7 851,7 808,7 447,7 434,----
Narre Warren North,5 564,5 546,5 509,5 399,5 373,----
Endeavour Hills - North,8 622,8 551,8 425,8 141,8 013,----
Endeavour Hills - South,9 515,9 376,9 155,8 764,8 524,----
Narre Warren - North East,9 905,9 867,9 733,9 475,9 385,----
Narre Warren - South West,10 290,10 389,10 403,10 129,10 164,----
Berwick - South East,11 806,11 966,12 075,12 164,12 423,----
Berwick - South West,7 112,7 406,7 617,7 749,7 967,----
Cranbourne,14 449,14 579,14 713,14 579,14 582,----
Cranbourne South,7 188,8 623,10 269,11 646,12 991,----
Cranbourne West,12 739,13 429,13 994,14 453,15 174,----
Lynbrook - Lyndhurst,11 618,11 914,12 256,12 308,12 668,----
Pearcedale - Tooradin,5 439,5 423,5 379,5 280,5 261,----
Narre Warren South - East,9 494,9 477,9 293,9 160,9 111,----
Narre Warren South - West,12 175,12 152,12 035,11 699,11 608,----
Clyde North - North,3 688,4 852,5 957,6 831,7 589,----
Clyde North - South,2 921,5 552,8 180,10 175,12 157,----
Cranbourne East - North,13 902,14 589,14 976,15 202,15 608,----
Cranbourne East - South,5 083,6 222,7 205,8 051,8 913,----
Cranbourne North - East,7 168,7 781,8 284,8 533,8 838,----
Cranbourne North - West,8 645,8 606,8 507,8 171,8 181,----
Hampton Park - East,9 289,9 403,9 342,8 893,8 807,----
Hampton Park - West,9 620,9 624,9 564,9 180,9 049,----
Clarinda - Oakleigh South,7 911,7 776,7 615,7 065,6 930,----
Clayton South,9 651,10 050,10 136,9 591,9 901,----
Dandenong North,15 492,15 431,15 160,14 682,14 408,----
Dingley Village,6 618,6 628,6 540,6 373,6 329,----
Noble Park North,5 100,5 051,4 988,4 796,4 744,----
Springvale,16 327,16 520,16 382,15 632,15 687,----
Springvale South,9 074,9 097,9 001,8 576,8 316,----
Noble Park - East,9 554,9 647,9 645,9 048,9 033,----
Noble Park - West,13 562,13 822,13 815,13 398,13 347,----
Dandenong - North,16 104,16 083,15 789,14 975,14 583,----
Dandenong - South,6 555,6 549,6 441,6 226,6 232,----
Keysborough - North,10 246,10 212,9 975,9 573,9 416,----
Keysborough - South,9 598,10 123,10 523,10 677,11 024,----
Ashwood - Chadstone,13 718,13 953,13 965,13 495,13 796,----
Glen Waverley - East,14 142,14 169,14 088,13 522,13 425,----
Glen Waverley - West,13 955,14 205,14 412,14 041,14 146,----
Mount Waverley - North,10 655,10 785,10 928,10 575,10 622,----
Mount Waverley - South,12 677,12 804,12 845,12 512,12 658,----
Mulgrave,13 134,13 129,13 062,12 643,12 821,----
Oakleigh - Huntingdale,16 184,16 442,16 526,16 065,16 381,----
Wheelers Hill,12 358,12 278,12 168,11 716,11 550,----
Clayton (North) - Notting Hill,10 248,10 153,10 093,8 587,9 233,----
Clayton - Central,10 538,10 858,11 043,9 598,10 283,----
Ardeer - Albion,5 735,5 688,5 586,5 257,5 159,----
Cairnlea,7 394,7 406,7 412,7 142,7 004,----
Delahey,6 199,6 124,5 971,5 601,5 467,----
Keilor Downs,9 236,9 062,8 796,8 380,8 176,----
Kings Park (Vic.),9 653,9 570,9 381,9 026,8 808,----
St Albans - North,14 472,14 567,14 410,13 862,13 557,----
St Albans - South,12 459,12 423,12 134,11 602,11 153,----
Sunshine,7 357,7 354,7 179,6 749,6 781,----
Sunshine North,8 516,8 540,8 499,8 189,8 138,----
Sunshine West,12 959,12 928,12 729,12 271,11 963,----
Sydenham,8 939,8 950,8 720,8 262,8 087,----
Taylors Lakes,12 982,12 733,12 308,11 794,11 362,----
Deer Park,12 805,12 712,12 466,11 938,11 765,----
Derrimut,6 047,6 126,6 054,5 830,5 863,----
Altona,8 768,8 877,8 856,8 609,8 606,----
Altona Meadows,13 693,13 520,13 029,12 306,11 984,----
Altona North,9 495,9 643,9 631,9 414,9 504,----
Newport,13 022,13 214,13 263,12 795,12 762,----
Seabrook,3 690,3 649,3 554,3 397,3 312,----
Williamstown,10 890,10 919,10 742,10 339,10 372,----
Braybrook,14 420,14 529,14 569,14 062,14 244,----
Footscray,14 198,14 328,14 331,13 690,14 309,----
Maribyrnong,10 107,10 124,10 089,9 554,9 744,----
Seddon - Kingsville,7 028,7 028,6 972,6 687,6 739,----
West Footscray - Tottenham,9 032,9 142,9 046,8 692,8 805,----
Yarraville,11 250,11 325,11 312,11 011,11 106,----
Bacchus Marsh,14 415,14 948,15 468,15 813,16 186,----
Melton West,13 225,13 787,13 985,13 879,14 096,----
Rockbank - Mount Cottrell,5 714,7 678,9 754,12 837,16 218,----
Taylors Hill,13 381,13 454,13 455,13 247,13 519,----
Burnside,3 445,3 546,3 669,3 732,3 815,----
Burnside Heights,4 362,4 398,4 330,4 211,4 147,----
Caroline Springs,14 635,14 628,14 577,14 182,14 258,----
Brookfield,6 150,6 162,6 209,6 183,6 165,----
Cobblebank - Strathtulloh,1 908,2 985,4 199,5 176,5 905,----
Eynesbury - Exford,1 915,1 902,1 910,1 922,2 000,----
Fraser Rise - Plumpton,4 861,5 524,6 002,6 939,8 858,----
Hillside,11 853,11 795,11 709,11 593,11 600,----
Kurunjang - Toolern Vale,7 835,7 999,8 007,7 755,7 802,----
Melton,5 170,5 167,5 060,4 855,4 793,----
