Clyde North - South,13,7,821
Cranbourne East - North,407,1 196,1 741
Cranbourne East - South,24,208,972
Cranbourne North - East,165,505,980
Cranbourne North - West,789,821,901
Hampton Park - East,761,869,1 030
Hampton Park - West,939,1 043,1 244
Clarinda - Oakleigh South,720,786,829
Clayton South,1 340,1 654,1 886
Dandenong North,1 789,1 973,2 101
Dingley Village,365,347,397
Noble Park North,674,676,686
Springvale,2 187,2 391,2 834
Springvale South,851,918,1 022
Noble Park - East,1 851,2 068,2 149
Noble Park - West,1 874,2 110,2 310
Dandenong - North,3 588,3 957,3 991
Dandenong - South,745,1 181,1 264
Keysborough - North,801,908,996
Keysborough - South,75,366,714
Ashwood - Chadstone,1 897,2 352,2 712
Glen Waverley - East,1 221,1 435,1 631
Glen Waverley - West,1 460,1 795,2 279
Mount Waverley - North,1 044,1 177,1 380
Mount Waverley - South,1 253,1 436,1 646
Mulgrave,1 129,1 354,1 530
Oakleigh - Huntingdale,2 077,2 341,2 818
Wheelers Hill,696,843,963
Clayton (North) - Notting Hill,1 190,1 971,1 897
Clayton - Central,1 860,2 146,2 338
Ardeer - Albion,1 003,1 116,1 177
Cairnlea,303,302,420
Delahey,499,571,613
Keilor Downs,672,764,820
Kings Park (Vic.),848,929,1 006
St Albans - North,1 869,2 291,2 598
St Albans - South,1 397,1 639,1 881
Sunshine,980,1 252,1 361
Sunshine North,744,954,1 139
Sunshine West,1 193,1 609,1 729
Sydenham,966,1 134,1 182
Taylors Lakes,468,506,559
Deer Park,1 490,1 649,1 717
Derrimut,339,456,504
Altona,1 326,1 522,1 662
Altona Meadows,1 652,1 850,1 895
Altona North,1 290,1 548,1 778
Newport,1 764,1 907,2 101
Seabrook,281,296,326
Williamstown,1 493,1 507,1 561
Braybrook,2 212,2 817,3 131
Footscray,2 601,3 748,4 123
Maribyrnong,1 074,1 725,1 913
Seddon - Kingsville,1 247,1 429,1 420
West Footscray - Tottenham,1 468,1 816,1 859
Yarraville,1 655,1 801,1 991
Bacchus Marsh,1 228,1 537,1 837
Melton West,1 006,1 347,1 720
Rockbank - Mount Cottrell,127,154,1 097
Taylors Hill,540,723,707
Burnside,132,130,173
Burnside Heights,277,311,309
Caroline Springs,956,1 271,1 361
Brookfield,404,747,805
Cobblebank - Strathtulloh,3,89,635
Eynesbury - Exford,14,77,89
Fraser Rise - Plumpton,17,147,520
Hillside,598,625,689
Kurunjang - Toolern Vale,678,756,869
Melton,912,952,1 036
Melton South - Weir Views,978,1 238,2 028
Hoppers Crossing - North,1 074,1 253,1 385
