route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-TRN-mjp-1","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-10","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-11","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-2","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-3","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-4","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-5","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-6","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-7","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-8","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-TRN-mjp-9","","","Traralgon - Melbourne Via Pakenham, Moe & Morwell","3","A57FB2","FFFFFF"
"5-V02-mjp-1","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-10","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-11","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-2","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-3","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-4","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-5","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-6","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-7","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-8","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V02-mjp-9","","","Adelaide - Melbourne Via Geelong, Ballarat, Horsham","3","A57FB2","FFFFFF"
"5-V03-mjp-1","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-10","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-11","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-2","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-3","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-4","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-5","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-6","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-7","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-8","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V03-mjp-9","","","Adelaide - Melbourne Via Bendigo & Nhill","3","A57FB2","FFFFFF"
"5-V06-mjp-1","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-2","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-3","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
"5-V06-mjp-4","","","Ballarat - Warrnambool Via Skipton","3","A57FB2","FFFFFF"
